fold_id,horizon,signal_date,rank_ic,n_obs
fold_001,20,2020-03-31,0.19970702022887224,487
fold_001,20,2020-04-01,0.20483167038815778,487
fold_001,20,2020-04-02,0.33617933964404706,487
fold_001,20,2020-04-03,0.3087047842398019,487
fold_001,20,2020-04-06,0.08584750630826825,487
fold_001,20,2020-04-07,-0.0890597009932211,487
fold_001,20,2020-04-08,-0.011341583977627719,487
fold_001,20,2020-04-09,0.2109518631327827,487
fold_001,20,2020-04-13,0.13919854637808057,487
fold_001,20,2020-04-14,-0.06764124343238374,487
fold_001,20,2020-04-15,-0.08903570809559291,487
fold_001,20,2020-04-16,-0.03941713537994099,487
fold_001,20,2020-04-17,0.015268567849821115,487
fold_001,20,2020-04-20,0.12336084847649369,487
fold_001,20,2020-04-21,0.13083072904403606,487
fold_001,20,2020-04-22,-0.00184066294203382,487
fold_001,20,2020-04-23,-0.033599677051461115,487
fold_001,20,2020-04-24,0.016634691128352103,487
fold_001,20,2020-04-27,-0.16787775356871198,487
fold_001,20,2020-04-28,-0.10173687138736702,487
fold_001,20,2020-04-29,0.008429604753609318,487
fold_001,20,2020-04-30,-0.07153814951266986,487
fold_001,20,2020-05-01,-0.06040949999596125,487
fold_001,20,2020-05-04,0.037932461252869185,487
fold_001,20,2020-05-05,0.11058781885692476,487
fold_001,20,2020-05-06,0.3024317727458903,487
fold_001,20,2020-05-07,0.1265203633856794,487
fold_001,20,2020-05-08,0.03387934770014214,487
fold_001,20,2020-05-11,0.21350416299776087,487
fold_001,20,2020-05-12,0.32314631360108254,487
fold_001,20,2020-05-13,0.43280734889741107,487
fold_001,20,2020-05-14,0.2845787007207103,487
fold_001,20,2020-05-15,0.3598011482733373,487
fold_001,20,2020-05-18,-0.04808901714889447,487
fold_001,20,2020-05-19,0.10750295394086304,487
fold_001,20,2020-05-20,0.006729771860011985,487
fold_001,20,2020-05-21,0.06077228859194468,487
fold_001,20,2020-05-22,0.11981061323686983,487
fold_001,20,2020-05-26,0.20143530937743276,487
fold_001,20,2020-05-27,0.2542932824716967,487
fold_001,20,2020-05-28,0.1815453336584576,487
fold_001,20,2020-05-29,0.0556690655849705,487
fold_001,20,2020-06-01,0.08313418102446965,487
fold_001,20,2020-06-02,0.0634181056458653,487
fold_001,20,2020-06-03,0.1700018295976546,487
fold_001,20,2020-06-04,0.30754547151348394,487
fold_001,20,2020-06-05,0.2264570230063811,487
fold_001,20,2020-06-08,0.3491946428292482,487
fold_001,20,2020-06-09,0.1538659459166881,487
fold_001,20,2020-06-10,-0.1673164976410043,487
fold_001,20,2020-06-11,-0.26012037066264027,487
fold_001,20,2020-06-12,-0.13766678195590817,487
fold_001,20,2020-06-15,-0.23666586996213967,487
fold_001,20,2020-06-16,-0.19347938045522278,487
fold_001,20,2020-06-17,-0.15125738297292443,487
fold_001,20,2020-06-18,-0.18648017582425294,487
fold_001,20,2020-06-19,-0.19473524621729205,487
fold_001,20,2020-06-22,-0.1792674399484169,487
fold_001,20,2020-06-23,-0.16576373755873655,487
fold_001,20,2020-06-24,-0.062007228887568364,487
fold_001,20,2020-06-25,0.055733509671596744,487
fold_001,20,2020-06-26,-0.056788820146491475,487
fold_001,20,2020-06-29,-0.08304256254705632,487
fold_001,20,2020-06-30,-0.13803691283491737,487
fold_001,20,2020-07-01,-0.07414695860192778,487
fold_001,20,2020-07-02,-0.13826874460880423,487
fold_001,20,2020-07-06,-0.041754882511975365,487
fold_001,20,2020-07-07,-0.019531868096476144,487
fold_001,20,2020-07-08,0.03616485795105191,487
fold_001,20,2020-07-09,0.13305181480776693,487
fold_001,20,2020-07-10,0.04867568771702673,487
fold_001,20,2020-07-13,0.08152469295192384,487
fold_001,20,2020-07-14,0.08442685622313399,487
fold_001,20,2020-07-15,-0.003715922571336214,487
fold_001,20,2020-07-16,0.05201503345926546,487
fold_001,20,2020-07-17,0.06057101480060185,487
fold_001,20,2020-07-20,0.06582719523594277,487
fold_001,20,2020-07-21,0.007382857890310278,487
fold_001,20,2020-07-22,0.06624319244822122,487
fold_001,20,2020-07-23,0.1517352948647873,487
fold_001,20,2020-07-24,0.09011426028218096,487
fold_001,20,2020-07-27,0.13127375941685712,487
fold_001,20,2020-07-28,0.05097312222718475,487
fold_001,20,2020-07-29,-0.06336413199420204,487
fold_001,20,2020-07-30,0.0706308385150088,487
fold_001,20,2020-07-31,0.10863511898116206,487
fold_001,20,2020-08-03,0.05153029466160903,487
fold_001,20,2020-08-04,-0.0015066917889327727,487
fold_001,20,2020-08-05,-0.04505823297277431,487
fold_001,20,2020-08-06,-0.024189185408941893,487
fold_001,20,2020-08-07,-0.019607136241233544,487
fold_001,20,2020-08-10,0.002399412242960921,487
fold_001,20,2020-08-11,-0.0017635204206267853,487
fold_001,20,2020-08-12,-0.10592460602958279,487
fold_001,20,2020-08-13,-0.10058227916948818,487
fold_001,20,2020-08-14,-0.09459447806326964,487
fold_001,20,2020-08-17,-0.08916635887654181,487
fold_001,20,2020-08-18,0.04589942313645369,487
fold_001,20,2020-08-19,0.13095270562546402,487
fold_001,20,2020-08-20,0.045929817308777265,487
fold_001,20,2020-08-21,-0.011362260930186479,487
fold_001,20,2020-08-24,-0.038411684657539795,487
fold_001,20,2020-08-25,-0.06591644310322897,487
fold_001,20,2020-08-26,-0.08963251746282522,487
fold_001,20,2020-08-27,-0.06931859167404801,487
fold_001,20,2020-08-28,-0.054018358948596544,487
fold_001,20,2020-08-31,-0.05748500244206123,487
fold_001,20,2020-09-01,0.01596218164915578,487
fold_001,20,2020-09-02,-0.028627661979820418,487
fold_001,20,2020-09-03,-0.04493948054957683,487
fold_001,20,2020-09-04,0.10188865992363429,487
fold_001,20,2020-09-08,0.0352508296243348,487
fold_001,20,2020-09-09,-0.0406984359660469,487
fold_001,20,2020-09-10,-0.024363933664983038,487
fold_001,20,2020-09-11,0.03672213493999956,487
fold_001,20,2020-09-14,0.06428131876900216,487
fold_001,20,2020-09-15,-0.03319759743935495,487
fold_001,20,2020-09-16,0.012214516818513755,487
fold_001,20,2020-09-17,0.06922975724972397,487
fold_001,20,2020-09-18,0.03941230322017162,487
fold_001,20,2020-09-21,0.01910958076682535,487
fold_001,20,2020-09-22,0.007163123247659017,487
fold_001,20,2020-09-23,-0.02938666632035337,487
fold_001,20,2020-09-24,0.09400638546387559,487
fold_001,20,2020-09-25,-0.08403990653881208,487
fold_001,20,2020-09-28,-0.14674921223925066,487
fold_002,20,2020-12-23,0.04797429590709376,490
fold_002,20,2020-12-24,0.04613790924192294,490
fold_002,20,2020-12-28,0.12951536694115917,490
fold_002,20,2020-12-29,0.1771318988309922,490
fold_002,20,2020-12-30,0.10308447008171558,490
fold_002,20,2020-12-31,0.17346651071398644,490
fold_002,20,2021-01-04,0.12846612212924888,490
fold_002,20,2021-01-05,0.0036069308764146075,490
fold_002,20,2021-01-06,0.19046944153227402,490
fold_002,20,2021-01-07,0.19816452665130022,490
fold_002,20,2021-01-08,0.19880588521625955,490
fold_002,20,2021-01-11,0.17579821546043117,490
fold_002,20,2021-01-12,0.2171821459015385,490
fold_002,20,2021-01-13,0.06812404690137126,490
fold_002,20,2021-01-14,-0.03467508958805905,490
fold_002,20,2021-01-15,0.04250150307911305,490
fold_002,20,2021-01-19,0.025831235665190834,490
fold_002,20,2021-01-20,0.052588158348061034,490
fold_002,20,2021-01-21,0.0552664401070498,490
fold_002,20,2021-01-22,0.20554391282268594,490
fold_002,20,2021-01-25,0.3347530709656846,490
fold_002,20,2021-01-26,0.3903338951849174,490
fold_002,20,2021-01-27,0.2918501528923435,490
fold_002,20,2021-01-28,0.07290463001672967,490
fold_002,20,2021-01-29,0.2035417178838519,490
fold_002,20,2021-02-01,0.14115248827550445,490
fold_002,20,2021-02-02,0.0700367766682355,490
fold_002,20,2021-02-03,-0.11840988645295497,490
fold_002,20,2021-02-04,-0.1119863142157675,490
fold_002,20,2021-02-05,-0.028924501641721338,490
fold_002,20,2021-02-08,-0.10720252185788612,490
fold_002,20,2021-02-09,-0.01625592373219757,491
fold_002,20,2021-02-10,-0.006145005940174131,491
fold_002,20,2021-02-11,0.13109156104513217,491
fold_002,20,2021-02-12,0.03847725966348985,491
fold_002,20,2021-02-16,0.051114587208883844,491
fold_002,20,2021-02-17,-0.05629078800645515,491
fold_002,20,2021-02-18,0.0524476440765864,491
fold_002,20,2021-02-19,0.022795493576689183,491
fold_002,20,2021-02-22,0.021174674847200505,491
fold_002,20,2021-02-23,0.04791301504206466,491
fold_002,20,2021-02-24,0.1592055075612428,491
fold_002,20,2021-02-25,-0.09822155180615715,491
fold_002,20,2021-02-26,0.028452008145220684,491
fold_002,20,2021-03-01,0.14582218293983495,491
fold_002,20,2021-03-02,0.08481595026331874,491
fold_002,20,2021-03-03,0.18361169884315978,491
fold_002,20,2021-03-04,0.09888974386157899,491
fold_002,20,2021-03-05,0.0709499841510031,491
fold_002,20,2021-03-08,0.21324432448187622,491
fold_002,20,2021-03-09,-0.04891846286716049,491
fold_002,20,2021-03-10,-0.027794123379320766,491
fold_002,20,2021-03-11,-0.07329294515276709,491
fold_002,20,2021-03-12,-0.027758389463137967,491
fold_002,20,2021-03-15,-0.12129364198412754,491
fold_002,20,2021-03-16,-0.21765889173304395,491
fold_002,20,2021-03-17,-0.02460850814917393,491
fold_002,20,2021-03-18,0.04579839138832432,491
fold_002,20,2021-03-19,0.011094018137678265,491
fold_002,20,2021-03-22,-0.12071367448454262,491
fold_002,20,2021-03-23,-0.06130742223207636,491
fold_002,20,2021-03-24,0.013001423305012154,491
fold_002,20,2021-03-25,0.07188266725709129,491
fold_002,20,2021-03-26,0.13754821639783907,491
fold_002,20,2021-03-29,0.18705906790715485,491
fold_002,20,2021-03-30,0.13468987658109483,491
fold_002,20,2021-03-31,0.05657961912323767,491
fold_002,20,2021-04-01,-0.024405403444997302,491
fold_002,20,2021-04-05,0.10098225771390926,491
fold_002,20,2021-04-06,0.017572552840121693,491
fold_002,20,2021-04-07,0.09640963931148934,491
fold_002,20,2021-04-08,0.14773174857063148,491
fold_002,20,2021-04-09,0.06183245272368597,491
fold_002,20,2021-04-12,-0.011434949478232651,491
fold_002,20,2021-04-13,0.17946468225400672,492
fold_002,20,2021-04-14,-0.046456103991881825,493
fold_002,20,2021-04-15,0.08025981196310977,493
fold_002,20,2021-04-16,-0.0413632327899023,493
fold_002,20,2021-04-19,-0.1342047179936725,493
fold_002,20,2021-04-20,0.10306754929800116,493
fold_002,20,2021-04-21,-0.027505054533480615,493
fold_002,20,2021-04-22,0.008702463328608058,493
fold_002,20,2021-04-23,0.16866171937160362,493
fold_002,20,2021-04-26,0.031650825171980444,493
fold_002,20,2021-04-27,0.03891546511166222,493
fold_002,20,2021-04-28,0.03899603614141779,493
fold_002,20,2021-04-29,-0.01878716602234372,493
fold_002,20,2021-04-30,-0.01194179818644986,493
fold_002,20,2021-05-03,0.024431858454406423,493
fold_002,20,2021-05-04,0.11579433244391946,493
fold_002,20,2021-05-05,0.0696596482526616,493
fold_002,20,2021-05-06,0.0035084361703472886,493
fold_002,20,2021-05-07,0.1198724184376422,493
fold_002,20,2021-05-10,0.23175552887779674,493
fold_002,20,2021-05-11,0.14193250850600872,493
fold_002,20,2021-05-12,0.13732572428678638,493
fold_002,20,2021-05-13,0.21843537017269463,493
fold_002,20,2021-05-14,0.056302658291122146,493
fold_002,20,2021-05-17,0.1561913351742548,493
fold_002,20,2021-05-18,-0.051556343831640324,493
fold_002,20,2021-05-19,-0.15025320169412384,493
fold_002,20,2021-05-20,-0.3031301885273707,493
fold_002,20,2021-05-21,-0.09761346049292625,493
fold_002,20,2021-05-24,-0.18363749326035264,493
fold_002,20,2021-05-25,-0.21182526185012152,493
fold_002,20,2021-05-26,-0.05382734739967093,493
fold_002,20,2021-05-27,0.08442572066192348,493
fold_002,20,2021-05-28,-0.02856727028293313,493
fold_002,20,2021-06-01,0.2961556458328699,493
fold_002,20,2021-06-02,0.05486779185296972,493
fold_002,20,2021-06-03,0.15329770484554905,493
fold_002,20,2021-06-04,-0.014282457687154443,493
fold_002,20,2021-06-07,-0.02996353385577403,493
fold_002,20,2021-06-08,-0.02692333865603285,493
fold_002,20,2021-06-09,-0.11883279080645522,493
fold_002,20,2021-06-10,-0.20954056428441367,493
fold_002,20,2021-06-11,-0.20866387390605232,493
fold_002,20,2021-06-14,-0.2977411667833311,493
fold_002,20,2021-06-15,-0.19145064011476012,493
fold_002,20,2021-06-16,-0.27934774104279436,493
fold_002,20,2021-06-17,-0.19651902564204538,493
fold_002,20,2021-06-18,-0.05635209120841236,493
fold_002,20,2021-06-21,-0.1776780158528101,493
fold_002,20,2021-06-22,-0.2192191730548995,493
fold_002,20,2021-06-23,-0.1185581611784978,493
fold_002,20,2021-06-24,-0.06316715473798759,493
fold_003,20,2021-09-21,0.151776321626802,494
fold_003,20,2021-09-22,-0.0012482948303070473,494
fold_003,20,2021-09-23,0.0008003606375964238,494
fold_003,20,2021-09-24,-0.050445467907967556,494
fold_003,20,2021-09-27,-0.026352003497938536,494
fold_003,20,2021-09-28,-0.017166633278909996,494
fold_003,20,2021-09-29,-0.06433633509054498,494
fold_003,20,2021-09-30,0.010162077465970714,494
fold_003,20,2021-10-01,0.05417673453199868,494
fold_003,20,2021-10-04,0.07919978306012704,494
fold_003,20,2021-10-05,-0.022959169707252276,494
fold_003,20,2021-10-06,0.12062002611376006,494
fold_003,20,2021-10-07,-0.07754827916855701,494
fold_003,20,2021-10-08,0.08473807526359635,494
fold_003,20,2021-10-11,0.001648053790470932,494
fold_003,20,2021-10-12,0.06199680517511955,494
fold_003,20,2021-10-13,-0.06493175680682581,494
fold_003,20,2021-10-14,-0.04002482953213958,494
fold_003,20,2021-10-15,-0.08567762754367789,494
fold_003,20,2021-10-18,-0.08453317110122684,494
fold_003,20,2021-10-19,-0.07992416160366356,494
fold_003,20,2021-10-20,-0.01905913595382201,494
fold_003,20,2021-10-21,-0.1257001881254422,494
fold_003,20,2021-10-22,-0.04129887046694005,494
fold_003,20,2021-10-25,0.04121058568425697,494
fold_003,20,2021-10-26,0.09099309236395407,494
fold_003,20,2021-10-27,-0.10163537787650065,494
fold_003,20,2021-10-28,-0.08072873292387105,494
fold_003,20,2021-10-29,-0.08650559812024682,494
fold_003,20,2021-11-01,0.01190526286896471,494
fold_003,20,2021-11-02,-0.08134319042944994,494
fold_003,20,2021-11-03,-0.04326488697321442,494
fold_003,20,2021-11-04,-0.06582524397963997,494
fold_003,20,2021-11-05,0.01288211570099415,494
fold_003,20,2021-11-08,0.03899028180682122,494
fold_003,20,2021-11-09,-0.10274882160074038,494
fold_003,20,2021-11-10,-0.12249230130409332,494
fold_003,20,2021-11-11,-0.13097159061306515,494
fold_003,20,2021-11-12,-0.08997809647636108,494
fold_003,20,2021-11-15,-0.07700545293684496,494
fold_003,20,2021-11-16,-0.13832484824277513,494
fold_003,20,2021-11-17,-0.09517129838303619,494
fold_003,20,2021-11-18,-0.06749544997206944,494
fold_003,20,2021-11-19,-0.10680843594020886,494
fold_003,20,2021-11-22,-0.07351235254137449,494
fold_003,20,2021-11-23,0.0026816387181665046,494
fold_003,20,2021-11-24,-0.07683132476082079,494
fold_003,20,2021-11-26,-0.09981426373030687,494
fold_003,20,2021-11-29,-0.024803310459289244,494
fold_003,20,2021-11-30,-0.10090943912296015,494
fold_003,20,2021-12-01,-0.061648173497076325,494
fold_003,20,2021-12-02,0.029330501055407906,494
fold_003,20,2021-12-03,-0.04114633391652458,494
fold_003,20,2021-12-06,-0.15082227260050723,494
fold_003,20,2021-12-07,0.0031879521855451257,494
fold_003,20,2021-12-08,0.10029186952530919,494
fold_003,20,2021-12-09,-0.03743676371154101,494
fold_003,20,2021-12-10,0.012435220215124115,494
fold_003,20,2021-12-13,0.2160775299501114,494
fold_003,20,2021-12-14,-0.11875434294967933,494
fold_003,20,2021-12-15,0.1492460065004846,494
fold_003,20,2021-12-16,0.11496631677633412,494
